status,current,target,score,secondScore,sourceTitle,reason
rename,Supernova Prime Earthbound.mp4,Supernova Prime - Earthbound.mp4,1.000,0.897,VV#63 – Supernova Prime: Earthbound,
rename,Supernova prime primed for action.mp4,Supernova Prime 5 - Primed For Action.mp4,0.971,0.892,VV#98 – Supernova Prime 5: Primed For Action,
rename,Supernova Prime2 AlienDawn.mp4,Supernova Prime 2 - Alien Dawn.mp4,0.963,0.867,VV#70 – Supernova Prime 2: Alien Dawn,
skip,Supernova Ressurrection (extreme).mp4,,0.806,0.786,,no high-confidence title match
skip,Supernova split personality.mp4,,0.711,0.630,,no high-confidence title match
skip,Supernova Vigilantie Justice (extreme).mp4,,0.831,0.831,,no high-confidence title match
skip,Supernova vs Wondra.mp4,,0.684,0.667,,no high-confidence title match
skip,Supernova+32+VV+extreme.mp4.mp4,,0.653,0.642,,no high-confidence title match
skip,Supernova.mp4,,0.643,0.621,,no high-confidence title match
skip,Supernova1.mp4,,0.667,0.625,,no high-confidence title match
skip,Supernova11.mp4,,0.645,0.606,,no high-confidence title match
skip,Supernova12.mp4,,0.667,0.645,,no high-confidence title match
skip,Supernova13-VV.mp4,,0.667,0.647,,no high-confidence title match
skip,Supernova13.mp4,,0.645,0.606,,no high-confidence title match
skip,Supernova14-VV.mp4,,0.667,0.647,,no high-confidence title match
rename,Supernova15 Doomsayer.mp4,Supernova 15 - Doomsayer.mp4,0.977,0.654,SS#76 – Supernova 15: Doomsayer,
skip,Supernova16.mp4,,0.645,0.611,,no high-confidence title match
skip,Supernova17.mp4,,0.645,0.606,,no high-confidence title match
skip,Supernova17_Split.Personality-F.mp4,,0.750,0.603,,no high-confidence title match
skip,Supernova18 What If VV#84.mp4,,0.844,0.784,,no high-confidence title match
skip,Supernova19.mp4,,0.645,0.606,,no high-confidence title match
skip,Supernova2.mp4,,0.690,0.625,,no high-confidence title match
skip,Supernova20 - XFantazy.mp4,,0.711,0.682,,no high-confidence title match
skip,Supernova20-SS2.wmv,,0.647,0.615,,no high-confidence title match
skip,Supernova21-SS.mp4,,0.667,0.667,,no high-confidence title match
rename,Supernova21_-_Dark_N0va.mp4,Supernova 21 - Dark Nova.mp4,0.930,0.816,VV#88 – Supernova 21: Dark Nova,
skip,Supernova22 Hunted Peril Version.mp4,,0.842,0.646,,no high-confidence title match
skip,Supernova23.mp4,,0.667,0.606,,no high-confidence title match
rename,Supernova25 - No Refuge B.mp4,Supernova 25 - No Refuge.mp4,0.933,0.654,VV#104 – Supernova 25: No Refuge,
skip,Supernova26 extreme.mp4,,0.683,0.636,,no high-confidence title match
skip,Supernova26 extreme2.mp4,,0.667,0.622,,no high-confidence title match
skip,Supernova26 peril.mp4,,0.762,0.711,,no high-confidence title match
skip,Supernova27.mp4,,0.667,0.606,,no high-confidence title match
